date,hour,zone,day_of_week,is_weekend,is_peak_hour,zone_tier,weather,weather_surge_adj,trip_count,avg_demand_score,avg_surge,available_drivers,ev_driver_share,demand_supply_ratio
2024-01-01,0,Airport,Monday,FALSE,FALSE,1,Foggy,0.15,13,53.6,2.12,19,0.19,0.684
2024-01-01,0,Downtown,Monday,FALSE,FALSE,1,Clear,0,15,39.2,1.8,17,0.39,0.882
2024-01-01,0,Midtown,Monday,FALSE,FALSE,2,Clear,0,7,7.7,1.13,5,0.39,1.4
2024-01-01,0,Suburb_North,Monday,FALSE,FALSE,3,Clear,0,3,3.6,1.09,1,0.46,3
2024-01-01,0,Suburb_South,Monday,FALSE,FALSE,3,Stormy,0.5,3,11.9,1.16,2,0.47,1.5
2024-01-01,1,Airport,Monday,FALSE,FALSE,1,Clear,0,18,33.9,1.69,21,0.43,0.857
2024-01-01,1,Downtown,Monday,FALSE,FALSE,1,Clear,0,5,38.3,1.8,2,0.3,2.5
2024-01-01,1,Midtown,Monday,FALSE,FALSE,2,Foggy,0.15,5,11.1,1.22,7,0.44,0.714
2024-01-01,1,Suburb_North,Monday,FALSE,FALSE,3,Clear,0,7,18.6,1.31,11,0.41,0.636
2024-01-01,1,Suburb_South,Monday,FALSE,FALSE,3,Clear,0,5,12.5,1.23,4,0.35,1.25
2024-01-01,2,Airport,Monday,FALSE,FALSE,1,Stormy,0.5,16,41.8,1.75,20,0.42,0.8
2024-01-01,2,Downtown,Monday,FALSE,FALSE,1,Rainy,0.3,6,34.9,1.6,1,0.46,6
2024-01-01,2,Midtown,Monday,FALSE,FALSE,2,Clear,0,8,32.2,1.65,8,0.34,1
2024-01-01,2,Suburb_North,Monday,FALSE,FALSE,3,Clear,0,4,10,1.17,2,0.45,2
2024-01-01,2,Suburb_South,Monday,FALSE,FALSE,3,Clear,0,2,15,1.26,1,0.5,2
2024-01-01,3,Airport,Monday,FALSE,FALSE,1,Rainy,0.3,13,54,2.01,14,0.51,0.929
2024-01-01,3,Downtown,Monday,FALSE,FALSE,1,Clear,0,10,34.4,1.72,11,0.31,0.909
2024-01-01,3,Midtown,Monday,FALSE,FALSE,2,Clear,0,5,15.6,1.13,6,0.41,0.833
2024-01-01,3,Suburb_North,Monday,FALSE,FALSE,3,Stormy,0.5,6,7.1,1.23,7,0.48,0.857
2024-01-01,3,Suburb_South,Monday,FALSE,FALSE,3,Clear,0,5,11.8,1.23,5,0.45,1
2024-01-01,4,Airport,Monday,FALSE,FALSE,1,Rainy,0.3,5,39.3,1.7,7,0.43,0.714
2024-01-01,4,Downtown,Monday,FALSE,FALSE,1,Rainy,0.3,10,38.7,1.94,14,0.29,0.714
2024-01-01,4,Midtown,Monday,FALSE,FALSE,2,Clear,0,6,19.9,1.46,7,0.29,0.857
