trip_id,timestamp,date,hour,day_of_week,is_weekend,is_peak_hour,zone,zone_tier,vehicle_type,weather,distance_km,duration_min,demand_score,surge_multiplier,base_fare_usd,final_fare_usd,operating_cost_usd,driver_earnings_usd,driver_net_usd,platform_commission,passenger_rating
T00001,2024-01-28T05:09:36Z,2024-01-28,10,Sun,TRUE,FALSE,Midtown,2,Non-EV,Rainy,8.91,24.4,31.2,1.59,15.14,24.08,2.49,21.59,16.77,4.82,4.6
T00002,2024-01-28T21:11:38Z,2024-01-28,2,Mon,FALSE,FALSE,Suburb_North,3,EV,Foggy,8.52,24.3,14.6,1.21,15.34,18.57,1.02,17.55,13.84,3.71,4.8
T00003,2024-01-09T08:31:13Z,2024-01-09,14,Tue,FALSE,FALSE,Airport,1,EV,Clear,17.28,50.4,40.7,1.8,31.1,55.98,2.07,53.91,42.71,11.2,4.3
T00004,2024-01-25T16:25:19Z,2024-01-25,21,Thu,FALSE,FALSE,Midtown,2,Non-EV,Clear,5,11.9,24.3,1.37,8.5,11.65,1.4,10.25,7.92,2.33,4.6
T00005,2024-01-20T00:33:23Z,2024-01-20,6,Sat,TRUE,FALSE,Airport,1,EV,Clear,19.77,70.2,56.1,2.18,35.59,77.59,2.37,75.22,59.7,15.52,3.6
T00006,2024-01-16T08:14:56Z,2024-01-16,13,Tue,FALSE,FALSE,Downtown,1,EV,Clear,1,15.2,39.4,1.77,1.8,3.19,0.12,3.07,2.43,0.64,4.8
T00007,2024-01-22T20:50:36Z,2024-01-22,2,Tue,FALSE,FALSE,Suburb_North,3,Non-EV,Rainy,10.93,45,22.9,1.48,18.58,27.5,3.06,24.44,18.94,5.5,4.7
T00008,2024-01-04T19:27:35Z,2024-01-04,0,Fri,FALSE,FALSE,Suburb_South,3,EV,Clear,5.28,18.8,28.4,1.7,9.5,16.16,0.63,15.53,12.3,3.23,4.9
T00009,2024-01-20T11:32:03Z,2024-01-20,17,Sat,TRUE,TRUE,Midtown,2,Non-EV,Stormy,8.23,36,74,2.7,13.99,37.77,2.3,35.47,27.92,7.55,4.8
T00010,2024-01-21T22:08:47Z,2024-01-21,3,Mon,FALSE,FALSE,Downtown,1,Non-EV,Clear,4.06,14.6,37,1.68,6.89,11.58,1.14,10.44,8.12,2.32,4.5
T00011,2024-01-14T12:04:26Z,2024-01-14,17,Sun,TRUE,TRUE,Airport,1,Non-EV,Clear,22.26,78.2,79.8,2.65,37.84,100.29,6.23,94.06,74,20.06,4
T00012,2024-01-22T08:15:38Z,2024-01-22,13,Mon,FALSE,FALSE,Downtown,1,EV,Clear,1.28,4.9,54.1,2.05,2.31,4.74,0.15,4.59,3.64,0.95,4.5
T00013,2024-01-28T19:27:49Z,2024-01-28,0,Mon,FALSE,FALSE,Suburb_North,3,EV,Clear,7.76,27.2,9.3,1.06,13.97,14.81,0.93,13.88,10.92,2.96,4.3
T00014,2024-01-08T10:24:31Z,2024-01-08,15,Mon,FALSE,FALSE,Downtown,1,Non-EV,Clear,5.04,19.2,51,1.82,8.56,15.59,1.41,14.18,11.06,3.12,5
T00015,2024-01-14T15:21:02Z,2024-01-14,20,Sun,TRUE,TRUE,Midtown,2,Non-EV,Foggy,6.73,24.6,46.9,1.97,11.43,22.52,1.88,20.64,16.14,4.5,5
T00016,2024-01-28T23:18:36Z,2024-01-28,4,Mon,FALSE,FALSE,Downtown,1,EV,Clear,1,5.9,49.8,1.96,1.8,3.53,0.12,3.41,2.7,0.71,4.7
T00017,2024-01-30T02:49:21Z,2024-01-30,8,Tue,FALSE,TRUE,Midtown,2,Non-EV,Stormy,5.78,31,56.5,2.13,9.83,20.94,1.62,19.32,15.13,4.19,4
T00018,2024-01-04T07:05:27Z,2024-01-04,12,Thu,FALSE,FALSE,Downtown,1,Non-EV,Clear,1,7.4,46.6,1.89,1.7,3.21,0.28,2.93,2.29,0.64,4.7
T00019,2024-01-15T00:29:51Z,2024-01-15,5,Mon,FALSE,FALSE,Suburb_South,3,Non-EV,Clear,9.86,32.5,15.6,1.23,16.76,20.61,2.76,17.85,13.73,4.12,4.5
T00020,2024-01-17T13:56:21Z,2024-01-17,19,Wed,FALSE,TRUE,Downtown,1,Non-EV,Clear,3.22,15.1,77.6,2.53,5.48,13.85,0.9,12.95,10.18,2.77,4.6
